id_loja,competencia,categoria,produto,quantidade_vendida,preco_medio,custo_unitario
LJ01,2026-01,Café,Espresso,1411,"R$ 8,57",1.62
LJ01,2026-01,Cafés,Coado 300ml,1081,"R$ 10,71",2.33
LJ01,2026-01,Café,Cappuccino,1220,"R$ 15,48",3.67
LJ01,2026-01,Café,Latte,1096,"R$ 16,26",3.91
LJ01,2026-01,Café,Mocha,543,"R$ 18,64",4.99
LJ01,2026-01,Geladas,Cold brew 400ml,725,"R$ 16,80",5.09
LJ01,2026-01,Geladas,Frappé Turmalina,545,"R$ 21,08",7.64
LJ01,2026-01,Geladas,Chá gelado da casa,402,"R$ 13,21",4.08
LJ01,2026-01,Bebidas geladas,Limonada suíça,373,"R$ 13,83",4.41
LJ01,2026-01,SALGADOS,Pão de queijo (2 un.),1554,"R$ 12,28",6.22
LJ01,2026-01,SALGADOS,Croissant de queijo,741,"R$ 17,94",9.58
LJ01,2026-01,Salgados,Sanduíche de frango,542,"R$ 26,41",15.55
LJ01,2026-01,salgados,Empada de palmito,466,"R$ 15,41",8.43
LJ01,2026-01,doces,Brownie,675,"R$ 14,34",5.84
LJ01,2026-01,Doces,Cookie de castanha,589,"R$ 11,29",4.82
LJ01,2026-01,doces,Bolo de cenoura (fatia),435,"R$ 13,76",5.35
LJ01,2026-01,Doces,Torta de limão (fatia),284,"R$ 17,03",7.04
LJ01,2026-01,Varejo,Café em grãos 250g,396,"R$ 42,03",28.49
LJ01,2026-01,Varejo,Café em grãos 500g,255,"R$ 72,85",50.34
LJ01,2026-01,Grãos e varejo,Cápsulas 10 un.,286,"R$ 38,81",
LJ01,2026-01,Grãos e varejo,Caneca Turmalina,122,"R$ 59,45",
LJ01,2026-02,cafe,Espresso,1216,"R$ 8,41",1.68
LJ01,2026-02,Café,Coado 300ml,1150,"R$ 10,75",2.28
LJ01,2026-02,CAFÉ,Cappuccino,1157,"R$ 15,05",3.68
LJ01,2026-02,Café,Latte,908,"R$ 15,71",3.93
LJ01,2026-02,cafe,Mocha,490,"R$ 18,89",5.09
LJ01,2026-02,Geladas,Cold brew 400ml,679,"R$ 16,86",4.94
LJ01,2026-02,bebidas geladas,Frappé Turmalina,512,"R$ 21,21",7.32
LJ01,2026-02,bebidas geladas,Chá gelado da casa,375,"R$ 13,31",4.24
