data,id_loja,faturamento_bruto,descontos,num_tickets,horas_trabalhadas_equipe,custo_insumos,valor_desperdicio
2025-07-01,LJ01,8936.94,1118.45,340,81.9,2534.01,208.92
2025-07-01,LJ02,5418.14,208.54,198,54.1,1405.75,77.55
2025-07-01,LJ03,5943.66,335.56,232,62.6,1695.71,88.38
2025-07-01,LJ04,5441.03,185.55,205,44.3,1632.08,84.09
2025-07-01,LJ05,3602.32,61.38,205,21.6,974.42,19.87
2025-07-01,LJ06,7788.28,365.76,269,96.0,2206.77,59.23
2025-07-01,LJ07,4863.64,185.28,188,42.2,1282.00,50.92
2025-07-01,LJ08,6043.11,330.00,259,53.9,2233.26,155.26
2025-07-01,LJ09,5063.89,297.87,204,80.3,1552.52,73.73
2025-07-02,LJ01,10340.76,1442.53,379,75.3,2908.08,297.38
2025-07-02,LJ02,6074.59,211.01,209,54.2,1640.01,60.29
2025-07-02,LJ03,5336.58,286.13,203,68.0,1616.89,59.37
2025-07-02,LJ04,4928.96,200.83,187,50.8,1356.31,62.50
2025-07-02,LJ05,3433.72,63.89,207,21.2,880.34,12.59
2025-07-02,LJ06,6637.01,370.41,236,95.2,1723.15,85.17
2025-07-02,LJ07,4351.70,165.48,177,43.0,1201.56,37.59
2025-07-02,LJ08,6770.38,458.78,291,51.7,2296.02,164.54
2025-07-02,LJ09,5633.27,250.69,216,86.3,1747.99,76.49
2025-07-03,LJ01,8774.68,1121.16,348,83.8,2669.59,165.25
2025-07-03,LJ02,5752.81,234.27,199,53.2,1617.00,80.62
2025-07-03,LJ03,5437.67,326.63,212,63.1,1614.73,59.57
2025-07-03,LJ04,4959.02,213.64,198,50.0,1300.84,65.34
2025-07-03,LJ05,3532.36,70.27,200,20.7,839.13,14.80
2025-07-03,LJ06,7786.12,363.55,272,95.2,2225.55,74.24
2025-07-03,LJ07,4448.51,194.47,181,39.2,1185.96,49.40
2025-07-03,LJ08,5873.14,371.82,256,52.7,2176.77,158.22
2025-07-03,LJ09,5202.83,208.17,208,74.9,1554.87,104.21
2025-07-04,LJ01,10035.38,1090.34,397,84.4,2904.89,191.61
2025-07-04,LJ02,7819.00,332.55,284,60.9,2260.39,109.91
2025-07-04,LJ03,6142.53,278.63,249,64.6,1703.92,95.66
2025-07-04,LJ04,7086.77,212.99,266,50.7,1949.07,114.19
2025-07-04,LJ05,4181.92,86.81,237,22.2,1112.94,22.32
2025-07-04,LJ06,8203.90,462.47,279,91.2,2325.13,74.83
2025-07-04,LJ07,6428.40,281.71,256,48.6,1892.08,86.96
2025-07-04,LJ08,6950.71,341.23,310,54.6,2477.02,109.49
2025-07-04,LJ09,6063.90,258.74,232,78.4,1923.69,145.68
2025-07-05,LJ01,7810.39,832.47,297,68.3,2359.74,263.02
2025-07-05,LJ02,7036.78,359.82,262,61.2,1912.02,103.11
2025-07-05,LJ03,3924.48,262.24,157,58.9,1073.44,74.46
2025-07-05,LJ04,7892.18,354.47,305,56.1,2274.30,115.89
2025-07-05,LJ05,2122.30,41.27,125,18.5,523.38,11.67
2025-07-05,LJ06,6147.47,234.96,205,92.3,1651.76,42.24
2025-07-05,LJ07,6870.17,207.53,274,44.7,2019.19,116.05
2025-07-05,LJ08,4314.81,298.93,200,49.2,1467.23,83.09
2025-07-05,LJ09,5022.87,266.64,188,72.3,1513.37,112.95
2025-07-06,LJ01,3487.79,447.58,136,59.4,975.63,71.83
2025-07-06,LJ02,5969.50,258.01,210,62.5,1543.02,79.63
2025-07-06,LJ03,2589.02,165.98,102,52.3,772.94,42.94
2025-07-06,LJ04,6523.50,258.55,246,46.2,1941.29,97.97
2025-07-06,LJ05,1191.63,27.15,73,16.5,313.05,4.21
2025-07-06,LJ06,3064.23,155.95,103,75.6,870.31,23.25
2025-07-06,LJ07,4904.87,166.50,189,41.8,1345.92,69.79
2025-07-06,LJ08,2861.17,160.14,129,43.7,983.28,56.58
2025-07-06,LJ09,2470.85,108.21,96,68.6,759.87,29.44
2025-07-07,LJ01,7898.05,926.86,300,71.5,2206.80,135.10
2025-07-07,LJ02,4973.05,224.68,182,53.6,1359.17,43.65
2025-07-07,LJ03,5668.94,295.03,227,65.7,1722.68,109.06
2025-07-07,LJ04,5708.52,204.81,217,48.4,1697.84,82.70
2025-07-07,LJ05,3676.36,64.81,222,21.2,911.92,16.22
2025-07-07,LJ06,7418.86,357.55,258,85.9,1894.64,87.35
2025-07-07,LJ07,5008.10,187.01,191,43.7,1456.21,59.36
2025-07-07,LJ08,5821.30,359.75,268,53.2,2129.45,134.64
2025-07-07,LJ09,5034.24,261.13,195,82.8,1461.08,60.98
2025-07-08,LJ01,7962.81,915.02,315,83.9,2478.35,141.85
2025-07-08,LJ02,5566.04,207.05,206,56.4,1439.20,49.71
2025-07-08,LJ03,4890.07,279.90,195,67.8,1431.24,61.88
2025-07-08,LJ04,4521.45,209.28,173,45.7,1338.69,58.26
2025-07-08,LJ05,3754.11,89.06,227,20.7,978.45,19.35
2025-07-08,LJ06,5878.21,220.13,214,95.9,1586.58,41.95
2025-07-08,LJ07,4251.68,120.23,166,41.9,1234.16,66.36
2025-07-08,LJ08,5551.33,324.00,248,57.1,2157.96,135.23
2025-07-08,LJ09,4886.42,279.11,199,78.0,1359.48,62.53
2025-07-09,LJ01,9628.65,1317.99,351,79.7,2743.40,267.50
2025-07-09,LJ02,6200.10,295.22,221,59.6,1638.96,85.10
2025-07-09,LJ03,5632.36,293.00,222,63.8,1646.56,106.83
2025-07-09,LJ04,5687.82,228.53,212,47.8,1597.64,79.95
2025-07-09,LJ05,3458.95,88.52,199,20.3,821.36,10.46
2025-07-09,LJ06,7388.67,352.18,259,91.4,2110.10,57.86
2025-07-09,LJ07,4699.31,201.88,191,39.2,1310.91,43.34
2025-07-09,LJ08,5626.22,339.83,249,57.0,1928.52,145.70
2025-07-09,LJ09,5177.10,293.82,193,79.9,1440.38,106.66
2025-07-10,LJ01,7789.18,833.91,299,77.3,2326.38,178.43
2025-07-10,LJ02,6910.09,290.54,249,56.4,1844.78,79.88
2025-07-10,LJ03,5631.03,332.16,216,72.0,1656.80,57.69
2025-07-10,LJ04,5887.38,181.91,228,46.4,1735.76,55.97
2025-07-10,LJ05,3381.91,61.37,195,21.4,820.13,13.24
2025-07-10,LJ06,7056.12,359.39,253,96.9,1997.89,60.64
2025-07-10,LJ07,5085.38,210.19,192,42.1,1508.84,51.06
2025-07-10,LJ08,5952.10,317.42,259,60.4,2152.68,163.30
2025-07-10,LJ09,4888.34,278.57,194,77.8,1523.94,63.61
2025-07-11,LJ01,9136.96,889.75,345,75.5,2749.17,224.49
2025-07-11,LJ02,8273.28,274.18,287,65.0,2322.41,124.05
2025-07-11,LJ03,5467.93,320.78,209,64.1,1603.99,56.94
2025-07-11,LJ04,7732.89,288.79,282,50.9,2115.26,123.64
2025-07-11,LJ05,3994.13,67.32,226,20.3,1059.05,13.96
2025-07-11,LJ06,8094.70,455.67,283,97.5,2213.60,82.36
2025-07-11,LJ07,6583.20,186.21,258,42.8,1738.27,60.17
2025-07-11,LJ08,6625.89,308.83,301,54.9,2537.16,159.56
2025-07-11,LJ09,6222.56,305.79,239,80.2,1842.29,135.33
2025-07-12,LJ01,6001.81,569.80,238,73.3,1830.22,203.58
2025-07-12,LJ02,8757.56,339.06,317,68.1,2279.15,123.57
2025-07-12,LJ03,4415.13,269.11,175,59.1,1180.39,47.31
2025-07-12,LJ04,8677.30,348.21,330,57.7,2361.10,126.28
2025-07-12,LJ05,2375.76,58.96,138,19.9,566.03,7.12
2025-07-12,LJ06,5604.42,264.29,200,91.9,1561.85,59.11
2025-07-12,LJ07,5964.84,178.17,242,43.6,1566.21,61.92
2025-07-12,LJ08,4411.61,270.74,189,48.2,1699.55,98.61
2025-07-12,LJ09,4885.62,234.32,181,78.9,1403.78,72.03
2025-07-13,LJ01,3991.51,459.72,145,58.9,1217.91,125.11
2025-07-13,LJ02,6780.16,261.51,238,56.9,1903.10,80.60
2025-07-13,LJ03,2543.67,113.38,100,52.6,777.38,33.56
2025-07-13,LJ04,6702.97,288.42,249,51.2,1830.89,93.34
2025-07-13,LJ05,1184.89,27.88,69,17.0,317.11,6.62
2025-07-13,LJ06,3032.05,123.30,108,72.2,841.01,40.28
2025-07-13,LJ07,4793.88,203.33,193,40.4,1252.87,61.57
2025-07-13,LJ08,2921.37,200.98,134,43.4,1102.98,72.30
2025-07-13,LJ09,2872.42,165.54,108,66.5,861.08,48.33
2025-07-14,LJ01,8178.37,927.15,324,72.6,2320.19,249.25
2025-07-14,LJ02,5726.78,226.74,206,56.4,1642.81,53.55
2025-07-14,LJ03,5228.59,234.29,200,69.6,1596.54,57.07
2025-07-14,LJ04,5765.22,223.61,218,50.5,1557.65,57.97
2025-07-14,LJ05,3026.99,67.15,186,20.6,778.83,16.21
2025-07-14,LJ06,6047.24,344.07,212,93.4,1687.08,66.69
2025-07-14,LJ07,3824.47,107.41,150,39.6,1098.70,56.09
2025-07-14,LJ08,5250.03,357.15,224,58.9,1832.54,117.43
2025-07-14,LJ09,5128.19,239.36,195,80.3,1434.97,71.87
2025-07-15,LJ01,9961.17,1359.38,369,83.6,2768.96,177.33
2025-07-15,LJ02,5322.75,247.45,187,58.4,1529.63,46.14
2025-07-15,LJ03,5136.64,285.45,212,65.8,1455.64,100.41
2025-07-15,LJ04,4363.70,160.15,174,44.6,1290.02,69.14
