id_avaliacao,id_loja,data,nota,canal,tempo_espera_min,comentario
AV0001,LJ01,2026-01-02,4.0,google,8.0,Ambiente agradável para trabalhar
AV0002,LJ01,2026-03-21,4.0,app,12.0,
AV0003,LJ01,2026-03-16,4.0,app,9.0,"Equipe atenciosa, já conhecem meu pedido"
AV0004,LJ01,2026-04-18,4.0,google,6.0,
AV0005,LJ01,2025-12-02,3.0,app,7.0,
AV0006,LJ01,2025-11-30,4.0,google,12.0,"Equipe atenciosa, já conhecem meu pedido"
AV0007,LJ01,2026-01-09,3.0,app,12.0,"Bom, mas faltava opção sem lactose"
AV0008,LJ01,2025-12-21,3.0,totem na loja,7.0,"Gostei, só achei o lugar cheio demais"
AV0009,LJ01,2025-08-01,4.0,google maps,11.0,"Equipe atenciosa, já conhecem meu pedido"
AV0010,LJ01,2026-03-08,5.0,google,8.0,"Equipe atenciosa, já conhecem meu pedido"
AV0011,LJ01,2026-03-22,3.0,google,13.0,Café bom mas o atendimento demorou
AV0012,LJ01,2026-03-02,4.0,app,8.0,Cold brew excelente
AV0013,LJ01,2025-12-23,3.0,google maps,8.0,Café bom mas o atendimento demorou
AV0014,LJ01,2026-06-03,4.0,google,10.0,"Café muito bom, atendimento rápido"
AV0015,LJ01,2026-04-01,5.0,google maps,7.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0016,LJ01,2026-05-29,5.0,google maps,11.0,
AV0017,LJ01,2025-09-13,3.0,google maps,8.0,"Gostei, só achei o lugar cheio demais"
AV0018,LJ01,2026-04-17,4.0,app,6.0,Ambiente agradável para trabalhar
AV0019,LJ01,2025-12-05,5.0,totem na loja,6.0,
AV0020,LJ01,2025-07-09,4.0,google,12.0,"Equipe atenciosa, já conhecem meu pedido"
AV0021,LJ01,2025-11-03,3.0,google,8.0,
AV0022,LJ01,2025-07-25,4.0,totem na loja,11.0,"Café muito bom, atendimento rápido"
AV0023,LJ01,2026-03-16,5.0,google maps,8.0,Melhor espresso da região
AV0024,LJ01,2025-08-26,4.0,totem na loja,8.0,Cold brew excelente
AV0025,LJ01,2025-07-09,4.0,google,10.0,Cold brew excelente
AV0026,LJ01,2026-02-26,4.0,google,8.0,
AV0027,LJ01,2025-11-30,5.0,google,9.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0028,LJ01,2025-10-25,5.0,totem na loja,10.0,Pão de queijo sempre quente
AV0029,LJ01,2025-09-06,3.0,app,12.0,"Café bom, cardápio poderia ter mais opções"
AV0030,LJ01,2026-04-23,4.0,totem na loja,11.0,"Equipe atenciosa, já conhecem meu pedido"
AV0031,LJ01,2025-09-21,4.0,app,6.0,Preço justo pelo que entrega
AV0032,LJ01,2025-10-15,4.0,google,6.0,
AV0033,LJ01,2025-11-19,5.0,app,9.0,"Café muito bom, atendimento rápido"
AV0034,LJ02,2025-08-12,4.0,google,9.0,Ambiente agradável para trabalhar
AV0035,LJ02,2025-11-09,4.0,totem na loja,7.0,Preço justo pelo que entrega
AV0036,LJ02,2025-09-06,4.0,app,10.0,"Equipe atenciosa, já conhecem meu pedido"
AV0037,LJ02,2026-01-16,5.0,app,5.0,Cold brew excelente
AV0038,LJ02,2026-06-28,5.0,google maps,6.0,Ambiente agradável para trabalhar
AV0039,LJ02,2026-02-20,5.0,app,7.0,Preço justo pelo que entrega
AV0040,LJ02,2025-08-11,5.0,app,6.0,Pão de queijo sempre quente
AV0041,LJ02,2025-12-22,4.0,google,5.0,Melhor espresso da região
AV0042,LJ02,2025-12-06,5.0,app,8.0,Cold brew excelente
AV0043,LJ02,2025-08-12,5.0,google,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0044,LJ02,2026-03-31,4.0,google,9.0,"Equipe atenciosa, já conhecem meu pedido"
AV0045,LJ02,2025-12-08,5.0,totem na loja,4.0,Pão de queijo sempre quente
AV0046,LJ02,2026-05-24,5.0,app,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0047,LJ02,2025-08-03,5.0,app,7.0,"Café muito bom, atendimento rápido"
AV0048,LJ02,2025-09-25,4.0,app,5.0,Pão de queijo sempre quente
AV0049,LJ02,2026-01-21,4.0,google,7.0,
AV0050,LJ02,2025-11-01,5.0,google,9.0,"Café muito bom, atendimento rápido"
AV0051,LJ02,2025-08-02,4.0,app,8.0,
AV0052,LJ02,2025-09-14,4.0,app,5.0,Melhor espresso da região
AV0053,LJ02,2026-02-22,4.0,app,8.0,Preço justo pelo que entrega
