id_loja,competencia,categoria,produto,quantidade_vendida,preco_medio,custo_unitario
LJ01,2026-01-01,doces,bolo de cenoura fatia,435,13.76,5.35
LJ01,2026-01-01,doces,brownie,675,14.34,5.84
LJ01,2026-01-01,varejo,cafe em graos 250g,396,42.03,28.49
LJ01,2026-01-01,varejo,cafe em graos 500g,255,72.85,50.34
LJ01,2026-01-01,graos e varejo,caneca turmalina,122,59.45,38.12594936708861
LJ01,2026-01-01,cafe,cappuccino,1220,15.48,3.67
LJ01,2026-01-01,graos e varejo,capsulas 10 un,286,38.81,26.771125
LJ01,2026-01-01,geladas,cha gelado da casa,402,13.21,4.08
LJ01,2026-01-01,cafes,coado 300ml,1081,10.71,2.33
LJ01,2026-01-01,geladas,cold brew 400ml,725,16.8,5.09
LJ01,2026-01-01,doces,cookie de castanha,589,11.29,4.82
LJ01,2026-01-01,salgados,croissant de queijo,741,17.94,9.58
LJ01,2026-01-01,salgados,empada de palmito,466,15.41,8.43
LJ01,2026-01-01,cafe,espresso,1411,8.57,1.62
LJ01,2026-01-01,geladas,frappe turmalina,545,21.08,7.64
LJ01,2026-01-01,cafe,latte,1096,16.26,3.91
LJ01,2026-01-01,bebidas geladas,limonada suica,373,13.83,4.41
LJ01,2026-01-01,cafe,mocha,543,18.64,4.99
LJ01,2026-01-01,salgados,pao de queijo 2 un,1554,12.28,6.22
LJ01,2026-01-01,salgados,sanduiche de frango,542,26.41,15.55
LJ01,2026-01-01,doces,torta de limao fatia,284,17.03,7.04
LJ01,2026-02-01,doces,bolo de cenoura fatia,387,13.1,5.33
LJ01,2026-02-01,doces,brownie,571,14.36,6.33
LJ01,2026-02-01,graos e varejo,cafe em graos 250g,355,42.57,26.97
LJ01,2026-02-01,varejo,cafe em graos 500g,224,72.79,49.61
LJ01,2026-02-01,varejo,caneca turmalina,121,60.67,37.58
LJ01,2026-02-01,cafe,cappuccino,1157,15.05,3.68
LJ01,2026-02-01,graos e varejo,capsulas 10 un,270,37.21,25.6
LJ01,2026-02-01,bebidas geladas,cha gelado da casa,375,13.31,4.24
LJ01,2026-02-01,cafe,coado 300ml,1150,10.75,2.28
LJ01,2026-02-01,geladas,cold brew 400ml,679,16.86,4.94
LJ01,2026-02-01,doces,cookie de castanha,509,10.82,4.93
LJ01,2026-02-01,salgados,croissant de queijo,683,18.4,10.07
LJ01,2026-02-01,salgados,empada de palmito,462,14.61,8.35
LJ01,2026-02-01,cafe,espresso,1216,8.41,1.68
LJ01,2026-02-01,bebidas geladas,frappe turmalina,512,21.21,7.32
LJ01,2026-02-01,cafe,latte,908,15.71,3.93
LJ01,2026-02-01,bebidas geladas,limonada suica,334,14.34,4.59
LJ01,2026-02-01,cafe,mocha,490,18.89,5.09
LJ01,2026-02-01,salgados,pao de queijo 2 un,1394,12.21,6.15
LJ01,2026-02-01,salgados,sanduiche de frango,479,26.22,15.51
LJ01,2026-02-01,doces,torta de limao fatia,304,17.09,7.62
LJ01,2026-03-01,doces,bolo de cenoura fatia,431,13.25,5.37
LJ01,2026-03-01,doces,brownie,758,14.22,6.36
LJ01,2026-03-01,graos e varejo,cafe em graos 250g,408,41.87,27.08
LJ01,2026-03-01,varejo,cafe em graos 500g,277,74.67,50.04
LJ01,2026-03-01,graos e varejo,caneca turmalina,161,58.1,38.06
LJ01,2026-03-01,cafes,cappuccino,1343,15.48,3.73
LJ01,2026-03-01,graos e varejo,capsulas 10 un,375,37.15,26.01
LJ01,2026-03-01,bebidas geladas,cha gelado da casa,440,12.66,4.08
LJ01,2026-03-01,cafe,coado 300ml,1309,10.94,2.23
LJ01,2026-03-01,bebidas geladas,cold brew 400ml,914,17.11,5.1
LJ01,2026-03-01,doces,cookie de castanha,611,11.1,4.63
LJ01,2026-03-01,salgados,croissant de queijo,832,17.7,10.18
LJ01,2026-03-01,salgados,empada de palmito,514,15.37,8.36
LJ01,2026-03-01,cafe,espresso,1426,8.69,1.64
LJ01,2026-03-01,bebidas geladas,frappe turmalina,727,20.62,7.67
LJ01,2026-03-01,cafes,latte,1165,16.41,3.89
LJ01,2026-03-01,geladas,limonada suica,429,13.67,4.7
LJ01,2026-03-01,cafe,mocha,747,18.47,5.01
LJ01,2026-03-01,salgados,pao de queijo 2 un,1834,11.73,5.93
LJ01,2026-03-01,salgados,sanduiche de frango,703,27.19,16.05
LJ01,2026-03-01,doces,torta de limao fatia,334,17.46,7.24
LJ01,2026-04-01,doces,bolo de cenoura fatia,411,13.63,5.37
LJ01,2026-04-01,doces,brownie,643,14.2,5.93
LJ01,2026-04-01,graos e varejo,cafe em graos 250g,416,41.6,27.91
LJ01,2026-04-01,graos e varejo,cafe em graos 500g,284,76.1,48.96
LJ01,2026-04-01,graos e varejo,caneca turmalina,144,57.53,36.76
LJ01,2026-04-01,cafe,cappuccino,1424,15.86,3.44
LJ01,2026-04-01,graos e varejo,capsulas 10 un,298,38.54,27.98
LJ01,2026-04-01,bebidas geladas,cha gelado da casa,474,13.29,4.22
LJ01,2026-04-01,cafes,coado 300ml,1256,11.2,2.29
LJ01,2026-04-01,geladas,cold brew 400ml,796,16.89,5.13
LJ01,2026-04-01,doces,cookie de castanha,638,11.23,4.49
LJ01,2026-04-01,salgados,croissant de queijo,776,17.52,9.65
LJ01,2026-04-01,salgados,empada de palmito,557,14.98,7.77
LJ01,2026-04-01,cafes,espresso,1492,8.48,1.66
LJ01,2026-04-01,geladas,frappe turmalina,630,20.61,7.78
LJ01,2026-04-01,cafes,latte,1255,15.57,3.94
LJ01,2026-04-01,bebidas geladas,limonada suica,408,13.67,4.38
LJ01,2026-04-01,cafe,mocha,702,18.01,5.03
LJ01,2026-04-01,salgados,pao de queijo 2 un,1544,11.85,6.02
LJ01,2026-04-01,salgados,sanduiche de frango,567,26.77,15.57
LJ01,2026-04-01,doces,torta de limao fatia,358,17.26,7.69
LJ01,2026-05-01,doces,bolo de cenoura fatia,438,13.63,5.45
LJ01,2026-05-01,doces,brownie,790,14.14,5.92
LJ01,2026-05-01,varejo,cafe em graos 250g,407,41.98,27.54
LJ01,2026-05-01,graos e varejo,cafe em graos 500g,279,72.08,51.18
LJ01,2026-05-01,graos e varejo,caneca turmalina,157,58.45,37.62
LJ01,2026-05-01,cafe,cappuccino,1309,15.62,3.66
LJ01,2026-05-01,varejo,capsulas 10 un,368,37.23,25.63
LJ01,2026-05-01,geladas,cha gelado da casa,503,12.75,4.13
LJ01,2026-05-01,cafes,coado 300ml,1438,10.86,2.28
LJ01,2026-05-01,bebidas geladas,cold brew 400ml,830,16.51,5.15
LJ01,2026-05-01,doces,cookie de castanha,692,10.85,4.93
LJ01,2026-05-01,salgados,croissant de queijo,816,18.17,10.03
LJ01,2026-05-01,salgados,empada de palmito,523,15.09,7.71
LJ01,2026-05-01,cafes,espresso,1421,8.52,1.74
LJ01,2026-05-01,bebidas geladas,frappe turmalina,665,20.79,7.8
LJ01,2026-05-01,cafe,latte,1174,15.6,3.8
LJ01,2026-05-01,geladas,limonada suica,433,14.05,4.76
LJ01,2026-05-01,cafe,mocha,718,18.52,5.0
LJ01,2026-05-01,salgados,pao de queijo 2 un,1559,11.87,6.03
LJ01,2026-05-01,salgados,sanduiche de frango,647,27.01,15.16
LJ01,2026-05-01,doces,torta de limao fatia,352,17.11,7.26
LJ01,2026-06-01,doces,bolo de cenoura fatia,468,13.63,5.71
LJ01,2026-06-01,doces,brownie,778,13.59,6.33
LJ01,2026-06-01,graos e varejo,cafe em graos 250g,522,41.06,26.52
LJ01,2026-06-01,graos e varejo,cafe em graos 500g,282,74.71,51.38
LJ01,2026-06-01,varejo,caneca turmalina,156,60.39,38.4
LJ01,2026-06-01,cafe,cappuccino,1521,15.4,3.78
LJ01,2026-06-01,varejo,capsulas 10 un,350,37.43,26.86
LJ01,2026-06-01,bebidas geladas,cha gelado da casa,512,12.89,4.2
LJ01,2026-06-01,cafe,coado 300ml,1436,11.02,2.32
LJ01,2026-06-01,geladas,cold brew 400ml,969,16.73,5.31
LJ01,2026-06-01,doces,cookie de castanha,651,10.93,4.84
LJ01,2026-06-01,salgados,croissant de queijo,919,17.92,9.97
LJ01,2026-06-01,salgados,empada de palmito,631,14.86,8.26
LJ01,2026-06-01,cafe,espresso,1665,8.54,1.75
LJ01,2026-06-01,bebidas geladas,frappe turmalina,751,21.06,7.33
LJ01,2026-06-01,cafes,latte,1362,16.3,3.76
LJ01,2026-06-01,geladas,limonada suica,453,13.67,4.41
LJ01,2026-06-01,cafe,mocha,716,17.96,4.8
LJ01,2026-06-01,salgados,pao de queijo 2 un,1988,11.76,6.1
LJ01,2026-06-01,salgados,sanduiche de frango,742,27.69,15.92
LJ01,2026-06-01,doces,torta de limao fatia,360,16.6,7.17
LJ02,2026-01-01,doces,bolo de cenoura fatia,357,13.9,5.59
LJ02,2026-01-01,doces,brownie,584,14.34,6.07
LJ02,2026-01-01,varejo,cafe em graos 250g,169,41.98,28.49
LJ02,2026-01-01,graos e varejo,cafe em graos 500g,118,73.4,46.77
LJ02,2026-01-01,graos e varejo,caneca turmalina,65,57.88,38.12594936708861
LJ02,2026-01-01,cafe,cappuccino,1239,15.04,3.47
LJ02,2026-01-01,varejo,capsulas 10 un,138,37.75,25.72
LJ02,2026-01-01,bebidas geladas,cha gelado da casa,437,12.97,4.08
LJ02,2026-01-01,cafe,coado 300ml,1224,11.22,2.23
LJ02,2026-01-01,bebidas geladas,cold brew 400ml,751,17.32,5.23
LJ02,2026-01-01,doces,cookie de castanha,581,11.24,4.6
LJ02,2026-01-01,salgados,croissant de queijo,613,17.81,9.95
LJ02,2026-01-01,salgados,empada de palmito,446,14.79,8.39
LJ02,2026-01-01,cafe,espresso,1395,8.41,1.63
LJ02,2026-01-01,bebidas geladas,frappe turmalina,575,21.0,7.72
LJ02,2026-01-01,cafe,latte,1073,16.42,3.8
LJ02,2026-01-01,geladas,limonada suica,341,14.0,4.49
LJ02,2026-01-01,cafe,mocha,654,17.99,4.99
LJ02,2026-01-01,salgados,pao de queijo 2 un,1194,11.68,6.38
LJ02,2026-01-01,salgados,sanduiche de frango,470,27.15,15.41
LJ02,2026-01-01,doces,torta de limao fatia,309,16.86,7.12
LJ02,2026-02-01,doces,bolo de cenoura fatia,368,13.73,5.63
LJ02,2026-02-01,doces,brownie,570,14.1,6.4
LJ02,2026-02-01,varejo,cafe em graos 250g,141,42.73,26.97
LJ02,2026-02-01,graos e varejo,cafe em graos 500g,91,75.95,49.61
LJ02,2026-02-01,graos e varejo,caneca turmalina,53,59.01,38.61
LJ02,2026-02-01,cafes,cappuccino,1243,15.32,3.78
LJ02,2026-02-01,graos e varejo,capsulas 10 un,129,37.48,26.23
LJ02,2026-02-01,bebidas geladas,cha gelado da casa,333,13.17,4.17
LJ02,2026-02-01,cafe,coado 300ml,1014,10.73,2.4
