id_loja,nome_loja,cidade_uf,formato,modelo,data_abertura,area_m2,num_funcionarios,meta_faturamento_mensal,status
LJ01,Turmalina Savassi,BELO HORIZONTE MG,rua,propria,2021-08-12,88.0,11,168000.0,ativa
LJ02,Turmalina Pátio Savassi,BELO HORIZONTE MG,shopping,propria,2021-11-05,62.0,9,152000.0,ativa
LJ03,Turmalina Lourdes,BELO HORIZONTE MG,loja de rua,propria,2022-03-21,740.0,9,118000.0,ativa
LJ04,Turmalina BH Shopping,BELO HORIZONTE MG,shopping,propria,2022-07-09,58.0,8,165000.0,ativa
LJ05,Turmalina Contagem,CONTAGEM MG,quiosque,franquia,2022-10-17,14.0,4,74000.0,ativa
LJ06,Turmalina Nova Lima,NOVA LIMA MG,rua,propria,2023-02-14,96.0,12,148000.0,ativa
LJ07,Turmalina Diamond Mall,BELO HORIZONTE MG MG,shopping center,franquia,2023-06-30,460.0,7,122000.0,ativa
LJ08,Turmalina Juiz de Fora,JUIZ DE FORA MG,rua,franquia,2023-11-08,70.0,8,128000.0,ativa
LJ09,Turmalina Praia do Canto,VITORIA ES,rua,propria,2024-04-03,82.0,10,118000.0,ativa
LJ10,Turmalina Cambuí,CAMPINAS SP,rua,propria,2025-09-15,78.0,10,132000.0,ativa
LJ11,Turmalina Uberlândia,UBERLANDIA MG,quiosque,franquia,2025-11-20,120.0,3,62000.0,ativa
LJ12,Turmalina Vila Olímpia,SÃO PAULO SP,rua,propria,2026-01-19,84.0,11,148000.0,ativa
LJ13,Turmalina Shopping Vitória,VITÓRIA ES,shopping center,franquia,2026-02-23,52.0,7,108000.0,ativa
LJ14,Turmalina Belvedere,BELO HORIZONTE MG,rua,propria,2026-03-16,90.0,12,142000.0,ativa
