data,id_loja,faturamento_bruto,descontos,num_tickets,horas_trabalhadas_equipe,custo_insumos,valor_desperdicio
2025-07-01,LJ01,8936.94,1118.45,340,81.0,2534.01,208.92
2025-07-01,LJ02,5418.14,208.54,198,54.0,1405.75,77.55
2025-07-01,LJ03,5943.66,335.56,232,62.0,1695.71,88.38
2025-07-01,LJ04,5441.03,185.55,205,44.0,1632.08,84.09
2025-07-01,LJ05,3602.32,61.38,205,21.0,974.42,19.87
2025-07-01,LJ06,7788.28,365.76,269,96.0,2206.77,59.23
2025-07-01,LJ07,4863.64,185.28,188,42.0,1282.0,50.92
2025-07-01,LJ08,6043.11,330.0,259,53.0,2233.26,155.26
2025-07-01,LJ09,5063.89,297.87,204,80.0,1552.52,73.73
2025-07-02,LJ01,10340.76,1442.53,379,75.0,2908.08,297.38
2025-07-02,LJ02,6074.59,211.01,209,54.0,1640.01,60.29
2025-07-02,LJ03,5336.58,286.13,203,68.0,1616.89,59.37
2025-07-02,LJ04,4928.96,200.83,187,50.0,1356.31,62.5
2025-07-02,LJ05,3433.72,63.89,207,21.0,880.34,12.59
2025-07-02,LJ06,6637.01,370.41,236,95.0,1723.15,85.17
2025-07-02,LJ07,4351.7,165.48,177,43.0,1201.56,37.59
2025-07-02,LJ08,6770.38,458.78,291,51.0,2296.02,164.54
2025-07-02,LJ09,5633.27,250.69,216,86.0,1747.99,76.49
2025-07-03,LJ01,8774.68,1121.16,348,83.0,2669.59,165.25
2025-07-03,LJ02,5752.81,234.27,199,53.0,1617.0,80.62
2025-07-03,LJ03,5437.67,326.63,212,63.0,1614.73,59.57
2025-07-03,LJ04,4959.02,213.64,198,50.0,1300.84,65.34
2025-07-03,LJ05,3532.36,70.27,200,20.0,839.13,14.8
2025-07-03,LJ06,7786.12,363.55,272,95.0,2225.55,74.24
2025-07-03,LJ07,4448.51,194.47,181,39.0,1185.96,49.4
2025-07-03,LJ08,5873.14,371.82,256,52.0,2176.77,158.22
